x,rho,rho unc,dollars,dollars unc
200,0.025541014281485398,0.07151884642017496,0.0340546857086472,0.09535846189356662
250,0.009461199057782099,0.06568552887562629,0.012614932077042798,0.08758070516750172
300,-0.0,0,-0.0,0.0
350,0.01608294339464494,0.06289668446321552,0.021443924526193255,0.08386224595095403
400,0.07752753969547412,0.06925117567806743,0.10337005292729882,0.09233490090408991
450,0.0680795787396462,0.06852465039182183,0.0907727716528616,0.09136620052242911
500,0.019866392508839616,0.06154213457829556,0.026488523345119492,0.08205617943772743
650,0.06335490943400553,0.06355220292144248,0.08447321257867403,0.08473627056192332
700,0.0671346816199203,0.06707474104180731,0.0895129088265604,0.0894329880557431
750,0.028378076844818814,0.06567275617556867,0.037837435793091755,0.08756367490075824
800,0.06996931787071736,0.06635583982061584,0.09329242382762316,0.08847445309415446
850,-0.12411191745884159,-0.06793073985915922,-0.1654825566117888,-0.0905743198122123
900,0.0737485757144402,0.0628594091045641,0.09833143428592028,0.08381254547275213
950,-0.019874510549793983,-0.06429986431473679,-0.02649934739972531,-0.08573315241964906
1000,0.017028833270546054,0.0628960728568439,0.022705111027394743,0.08386143047579186
1050,0.014191108444948418,0.06427735013732057,0.01892147792659789,0.08570313351642743
1100,0.006623032595172081,0.06783950265382994,0.008830710126896108,0.0904526702051066
1150,-0.030288209980734834,-0.06430674836637848,-0.04038427997431311,-0.08574233115517131
1200,-0.062490106851522675,-0.06502799436285385,-0.0833201424686969,-0.08670399248380514
1250,0.0009462027340708831,0.06784346184976184,0.0012616036454278442,0.09045794913301579
1300,0.025541014281485398,0.06638615386064303,0.0340546857086472,0.08851487181419072
1350,0.07941691149818288,0.06778875443657076,0.10588921533091052,0.09038500591542768
1400,-0.03786320986066,-0.0671471812632556,-0.05048427981421334,-0.08952957501767413
